Entity,Code,Year,Fish farmers (aquaculture),Fishers
Africa,OWID_AFR,1995,69000,2743000
Africa,OWID_AFR,2000,100000,3247000
Africa,OWID_AFR,2005,189000,3736000
Africa,OWID_AFR,2010,255000,4228000
Africa,OWID_AFR,2015,355000,4712000
Africa,OWID_AFR,2018,386000,5021000
Americas,,1995,279000,1793000
Americas,,2000,257000,1982000
Americas,,2005,241000,2013000
Americas,,2010,336000,2562000
Americas,,2015,377000,2816000
Americas,,2018,388000,2455000
Asia,OWID_ASI,1995,7426000,24205000
Asia,OWID_ASI,2000,12355000,28079000
Asia,OWID_ASI,2005,14826000,29890000
Asia,OWID_ASI,2010,17910000,31517000
Asia,OWID_ASI,2015,19533000,30436000
Asia,OWID_ASI,2018,19617000,30768000
Europe,OWID_EUR,1995,98000,378000
Europe,OWID_EUR,2000,104000,679000
Europe,OWID_EUR,2005,100000,558000
Europe,OWID_EUR,2010,118000,530000
Europe,OWID_EUR,2015,115000,338000
Europe,OWID_EUR,2018,129000,272000
Oceania,OWID_OCE,1995,6000,460000
Oceania,OWID_OCE,2000,8000,451000
Oceania,OWID_OCE,2005,8000,458000
Oceania,OWID_OCE,2010,6000,467000
Oceania,OWID_OCE,2015,10000,469000
Oceania,OWID_OCE,2018,12000,460000
World,OWID_WRL,1995,7878000,29579000
World,OWID_WRL,2000,12824000,34438000
World,OWID_WRL,2005,15364000,36655000
World,OWID_WRL,2010,18625000,39304000
World,OWID_WRL,2015,20390000,38771000
World,OWID_WRL,2018,20532000,38976000